Date,Action,Environment,Log Level
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Ammonia <= 0.145,G357-Thermo,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Ammonia >= 0.02,G357-Thermo,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Ammonia >= 0.05,G357-Thermo,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Wind Direction >= 50,G357-Weather,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Wind Direction <= 120,G357-Weather,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Wind Direction >= 130,G357-Weather,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Wind Direction <= 45,G357-Weather,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Ammonia >= 0.15,G357-Thermo,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Ammonia >= 0.05,G357-Thermo,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Ammonia <= 0.145,G357-Thermo,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Ammonia <= 0.045,G357-Thermo,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Ammonia <= 0.015,G357-Thermo,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Ammonia <= 0.045,G357-Thermo,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Wind Direction >= 50,G357-Weather,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Wind Direction <= 120,G357-Weather,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Wind Direction <= 45,G357-Weather,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Wind Direction >= 130,G357-Weather,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.15,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.145,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.075,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.07,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.02,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.015,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.15,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.145,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.075,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.07,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for NH3-Cerex >= 0.02,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for NH3-Cerex <= 0.015,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule enabled trigger action for Napthalene-Cerex >= 0.45,G357-Cerex,info
2014-11-13 14:07:02,GPAC Schedule cleared all trigger actions.,,info
2014-11-13 14:07:03,GPAC Schedule cleared all trigger actions.,,info
2014-11-13 14:07:03,GPAC Schedule enabled trigger action for Ammonia >= 0.15,G357-Thermo,info
